CTT,CGGH,CGGHH,mhh,sigma
-3.0,-0.4,0.0666,0.035,0.6076827049255371
0.5,-0.4,0.0666,0.065,0.0028004674240946
0.5,-0.4,0.0,0.265,0.0029197498224675
-1.5,-0.6,-0.2,0.435,0.0280324406921863
-1.0,0.0,0.6,0.10500000000000001,0.1060094088315963
-1.5,0.0,-0.8,0.395,0.0531421527266502
-1.5,0.0,0.3333,0.445,0.0219632778316736
0.5,0.2666,-0.2,0.395,0.0011499867541715
-3.0,-0.4,0.2666,0.325,0.1845420598983764
0.0,-0.5333,0.3333,0.295,0.0046809110790491
0.5,-0.6,-1.0,0.315,0.0281723067164421
-1.5,-1.0,0.0,0.465,0.0195735525339841
0.5,-0.6,-0.2,0.775,0.0004117920761927
0.0,0.0,0.0666,0.11499999999999999,0.0109223034232854
-1.0,1.0,-1.0,0.395,0.0476871393620967
-1.5,0.0,1.0,0.225,0.1162050366401672
0.5,-0.5333,0.3333,0.535,0.0024266440887004
-3.0,0.0,-1.0,0.235,0.7575784921646118
-1.5,1.0,0.6,0.005,0.0004022426728624
-1.0,-0.5333,0.0,0.685,0.0011417890200391
-1.0,-0.4,0.0,0.035,0.1034596860408783
0.5,-0.4,0.0,0.675,0.0002335080498596
-3.0,0.0,0.0,0.655,0.0157098323106765
-1.0,1.0,-0.2,0.195,0.1237900182604789
-3.0,0.2666,0.0,0.615,0.0198079589754343
-1.5,0.2666,0.0,0.095,0.3425267934799194
-1.5,0.6666,0.0666,0.245,0.1127271428704261
-3.0,-0.6,-1.0,0.10500000000000001,2.098395109176636
-3.0,0.2,-0.8,0.735,0.0109380567446351
-1.0,-0.6,1.0,0.005,0.0002412241010461
-1.0,-0.6,0.6,0.725,0.0039469650946557
-1.5,-1.0,-0.2,0.305,0.0839637592434883
0.5,0.8,0.6,0.595,0.0044813742861151
-1.0,0.2,-1.0,0.385,0.0533833056688308
-1.0,0.1333,0.0,0.725,0.0016802562167868
-1.5,0.2,-0.8,0.305,0.1271097064018249
0.0,-0.5333,0.0,0.745,2.886968650273047e-05
-1.0,0.1333,-0.2,0.295,0.0427915565669536
-3.0,0.0,-0.2,0.08499999999999999,1.5200459957122805
-3.0,-0.4,0.0,0.235,0.439875066280365
-1.0,0.0,0.3333,0.395,0.014050236903131
0.0,-0.4,0.0666,0.5650000000000001,0.0001661039423197
-3.0,0.5333,0.2666,0.495,0.0414928272366523
-1.0,-0.5333,0.0,0.675,0.0009512845426797
-1.0,0.0,0.0,0.035,0.0993274599313736
0.5,0.2,-0.8,0.335,0.0134902605786919
-1.5,0.2,-0.8,0.315,0.1115780249238014
-3.0,-1.0,0.6,0.7050000000000001,0.0123564917594194
-1.5,0.8,1.0,0.785,0.0084594907239079
0.0,0.2666,-0.2,0.605,0.0002356777258682
-3.0,-0.4,0.0666,0.605,0.0157523471862077
0.5,0.8,0.0,0.515,0.0008621280430816
-3.0,0.6666,0.2666,0.055,0.5442165136337279
-3.0,0.0,1.0,0.765,0.0100383264943957
-1.5,-1.0,0.6,0.715,0.0076487613841891
-1.5,-0.6,-0.8,0.775,0.0013079667696729
-1.0,0.1333,0.2666,0.525,0.0056037153117358
-1.5,0.1333,0.0,0.335,0.0489127673208713
0.5,0.0,-0.8,0.195,0.0155699755996465
-1.0,0.2666,0.3333,0.235,0.0525497756898403
0.5,-1.0,0.0,0.405,0.0014492399059236
-1.0,-0.5333,0.0666,0.475,0.0067594582214951
-1.0,-0.5333,0.3333,0.08499999999999999,0.1419349312782287
-1.0,0.2,0.0,0.425,0.0116185816004872
-3.0,1.0,-1.0,0.755,0.0144647806882858
0.5,1.0,0.0,0.735,0.0001575453934492
-1.5,-1.0,0.6,0.685,0.0061184079386293
